Brand;GTIN;;Colour;Size;The Sports Edit URL;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913570245;;Juneberry Glossy;S;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913570252;;Juneberry Glossy;M;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913570269;;Juneberry Glossy;L;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566859;;Black/Buff;XS;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566866;;Black/Buff;S;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566873;;Black/Buff;M;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566880;;Black/Buff;L;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
